issue_key,issue_creation_time,related_dmp,is_approved,ordered_status_transition_list
ERB-945,2026-03-19T08:50:26.610Z,DMP-1935,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-799,2026-03-05T09:19:06.266Z,DMP-1633,true,"[""Approved"",""In Review"",""Submitted"",""Minor revisions"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-1343,2026-05-11T15:33:39.845Z,DMP-2305,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-723,2026-02-16T13:41:37.229Z,DMP-1554,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-682,2026-02-02T12:43:14.726Z,DMP-1426,true,"[""Approved"",""In Review"",""Submitted""]"
ERB-1410,2026-05-22T09:53:55.493Z,DMP-2574,true,"[""Approved"",""In Review"",""Submitted""]"
ERB-1572,2026-07-20T12:22:51.742Z,DMP-2867,false,"[""Submitted""]"
ERB-691,2026-02-04T13:46:58.812Z,DMP-1467,true,"[""Approved"",""In Review"",""Submitted"",""Minor revisions"",""In Review"",""Submitted"",""Minor revisions"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-1393,2026-05-19T13:28:40.764Z,DMP-2536,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-1226,2026-04-28T09:29:05.454Z,DMP-2292,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval"",""Draft"",""Waiting for approval""]"
ERB-1440,2026-05-27T07:29:03.133Z,DMP-2500,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-1261,2026-05-01T12:53:50.411Z,DMP-2357,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-1352,2026-05-12T14:36:51.725Z,DMP-2472,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-457,2025-10-20T13:33:33.853Z,DMP-745,true,"[""Approved"",""Conditional approval"",""In Review"",""Submitted"",""Minor revisions"",""In Review"",""Submitted""]"
ERB-472,2025-10-29T12:37:52.548Z,DMP-941,true,"[""Approved"",""In Review"",""Submitted"",""Minor revisions"",""In Review"",""Submitted""]"
ERB-947,2026-03-19T10:17:46.154Z,DMP-1812,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval"",""Draft"",""Waiting for approval"",""Draft"",""Waiting for approval""]"
ERB-789,2026-03-04T16:03:59.556Z,DMP-1449,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-1472,2026-06-02T05:16:45.862Z,DMP-2657,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval"",""Draft"",""Retracted"",""Draft"",""Waiting for approval""]"
ERB-1365,2026-05-14T20:37:06.691Z,DMP-2511,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-1499,2026-06-09T12:08:03.926Z,DMP-2037,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-1044,2026-03-27T14:32:21.202Z,DMP-2023,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-524,2025-11-20T09:47:45.557Z,DMP-1055,true,"[""Approved"",""In Review"",""Submitted"",""Minor revisions"",""In Review"",""Submitted"",""Minor revisions"",""In Review"",""Submitted"",""Major revisions"",""In Review"",""Submitted""]"
ERB-1245,2026-04-30T08:33:45.048Z,DMP-1617,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-1112,2026-04-09T13:39:13.240Z,DMP-2131,true,"[""Approved"",""In Review"",""Submitted"",""Minor revisions"",""In Review"",""Submitted"",""Waiting for approval"",""Draft"",""Retracted"",""Draft"",""Retracted"",""Submitted"",""Waiting for approval"",""Draft"",""Waiting for approval""]"
ERB-1048,2026-03-28T19:54:52.416Z,DMP-2013,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-784,2026-03-04T12:26:16.153Z,DMP-1679,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-595,2025-12-16T16:12:11.326Z,DMP-1174,true,"[""Approved"",""In Review"",""Submitted"",""Major revisions"",""In Review"",""Submitted""]"
ERB-1161,2026-04-17T09:09:23.275Z,DMP-2211,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-1334,2026-05-11T14:03:34.901Z,DMP-2388,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-544,2025-12-01T09:35:11.245Z,DMP-1154,true,"[""Approved"",""In Review"",""Submitted"",""Minor revisions"",""In Review"",""Submitted""]"
ERB-1026,2026-03-25T15:21:39.625Z,DMP-1577,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval"",""Draft"",""Retracted""]"
ERB-1502,2026-06-10T13:12:48.856Z,DMP-2726,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval""]"
ERB-1273,2026-05-04T10:13:35.562Z,DMP-2374,true,"[""Approved"",""In Review"",""Submitted"",""Waiting for approval"",""Draft"",""Retracted"",""Draft"",""Waiting for approval""]"
